Report Origin = (0.0, 0.0)
Units used = "mm"
"RefDes","Layer","LocationX","LocationY","Rotation"

U1,Top,62.4,20.5,90
U2,Top,40.95,19.25,90
U3,Top,15.1,17.25,270
U4,Top,15.8,28.225,270
C1,Top,62.15,30.5,0
C2,Top,73.25,24.5,0
C3,Top,73.25,21.8,0
C4,Top,64.25,10.6,0
C5,Top,51.65,20.2,0
C6,Top,41.25,27.2,0
C7,Top,49.65,16,0
C8,Top,39.05,11,0
C9,Top,32.05,21.4,0
C10,Top,28.25,22,0
C11,Top,28.25,17.6,0
C12,Top,10.65,26.3,0
C13,Top,10.65,29,0
C14,Top,2.6,16.15,90
C15,Top,16,25,0
C16,Top,58.4,10.4,0
C17,Top,26.6,30.8,90
C18,Top,73.25,18.6,0
C19,Top,73.25,15.4,0
C20,Top,32.4,33.25,90
X1,Top,78,18.75,90
R1,Top,73.25,27.4,0
R2,Top,6,28.05,90
L1,Top,20.4,31.85,90
